iter	Passed	Remaining
780	37671	10563
781	37724	10516
782	37779	10470
783	37831	10422
784	37888	10377
785	37980	10340
786	38062	10301
787	38139	10260
788	38213	10219
789	38280	10175
790	38347	10132
791	38396	10083
792	38464	10040
793	38517	9993
794	38572	9946
795	38630	9900
796	38684	9853
797	38747	9808
798	38802	9761
799	38865	9716
800	38947	9676
801	38997	9627
802	39043	9578
803	39100	9531
804	39171	9488
805	39230	9442
806	39284	9395
807	39331	9346
808	39384	9298
809	39438	9251
810	39483	9201
811	39533	9153
812	39580	9103
813	39625	9054
814	39673	9005
815	39717	8955
816	39774	8909
817	39817	8859
818	39859	8809
819	39901	8758
820	39947	8709
821	40005	8663
822	40066	8617
823	40113	8568
824	40175	8522
825	40238	8476
826	40305	8431
827	40355	8383
828	40424	8338
829	40477	8290
830	40548	8246
831	40608	8199
832	40687	8157
833	40759	8112
834	40819	8066
835	40882	8019
836	40952	7975
837	41008	7927
838	41073	7881
839	41124	7833
840	41181	7785
841	41249	7740
842	41295	7690
843	41353	7643
844	41415	7596
845	41478	7550
846	41537	7503
847	41603	7457
848	41669	7411
849	41722	7362
850	41783	7315
851	41825	7265
852	41877	7216
853	41940	7170
854	41988	7120
855	42054	7074
856	42107	7026
857	42169	6979
858	42225	6931
859	42282	6883
860	42344	6836
861	42405	6788
862	42454	6739
863	42495	6689
864	42554	6641
865	42606	6592
866	42656	6543
867	42706	6494
868	42745	6443
869	42789	6393
870	42828	6343
871	42872	6293
872	42929	6245
873	42979	6196
874	43045	6149
875	43111	6102
876	43169	6054
877	43225	6006
878	43277	5957
879	43333	5909
880	43401	5862
881	43463	5814
882	43526	5767
883	43578	5718
884	43637	5670
885	43684	5620
886	43734	5571
887	43790	5523
888	43840	5473
889	43893	5424
890	43930	5374
891	43974	5324
892	44017	5274
893	44056	5223
894	44092	5172
895	44125	5121
896	44160	5070
897	44199	5020
898	44242	4970
899	44288	4920
900	44328	4870
901	44363	4820
902	44411	4770
903	44454	4720
904	44495	4670
905	44542	4621
906	44601	4573
907	44664	4525
908	44728	4477
909	44786	4429
910	44843	4380
911	44900	4332
912	44945	4282
913	44983	4232
914	45031	4183
915	45080	4133
916	45119	4083
917	45155	4033
918	45198	3983
919	45245	3934
920	45298	3885
921	45356	3837
922	45403	3787
923	45449	3738
924	45501	3689
925	45563	3641
926	45618	3592
927	45671	3543
928	45736	3495
929	45801	3447
930	45854	3398
931	45904	3349
932	45947	3299
933	45998	3250
934	46044	3200
935	46091	3151
936	46146	3102
937	46198	3053
938	46245	3004
939	46287	2954
940	46342	2905
941	46391	2856
942	46449	2807
943	46490	2757
944	46546	2709
945	46622	2661
946	46688	2612
947	46757	2564
948	46806	2515
949	46856	2466
950	46907	2416
951	46961	2367
952	47016	2318
953	47067	2269
954	47114	2220
955	47165	2170
956	47232	2122
957	47296	2073
958	47353	2024
959	47412	1975
960	47612	1932
961	47674	1883
962	47750	1834
963	47797	1784
964	47861	1735
965	47920	1686
966	47997	1637
967	48079	1589
968	48159	1540
969	48229	1491
970	48287	1442
971	48343	1392
972	48401	1343
973	48467	1293
974	48528	1244
975	48580	1194
976	48628	1144
977	48678	1095
978	48734	1045
979	48785	995
980	48833	945
